station_id,requested_datetime_utc,datetime_ict,date_utc,hour_utc,hour_ict,status,message,n_levels,surface_pressure_hPa,top_pressure_hPa,max_height_m,pressure_monotonic_decreasing,temperature_valid_n,dewpoint_valid_n,wind_valid_n,wind_speed_source_unit,raw_text_file,profile_csv_file,source_endpoint
48327,2024-03-15 12:00:00,2024-03-15 19:00:00,2024-03-15,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-15_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-15_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-16 00:00:00,2024-03-16 07:00:00,2024-03-16,0,7,downloaded,downloaded and parsed successfully,64.0,978.0,39.0,22142.0,True,64.0,64.0,64.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-16_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-16_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-16 06:00:00,2024-03-16 13:00:00,2024-03-16,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-16_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-16_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-16 12:00:00,2024-03-16 19:00:00,2024-03-16,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-16_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-16_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-17 00:00:00,2024-03-17 07:00:00,2024-03-17,0,7,downloaded,downloaded and parsed successfully,91.0,979.0,30.1,23726.0,True,91.0,91.0,91.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-17_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-17_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-17 06:00:00,2024-03-17 13:00:00,2024-03-17,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-17_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-17_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-17 12:00:00,2024-03-17 19:00:00,2024-03-17,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-17_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-17_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-18 00:00:00,2024-03-18 07:00:00,2024-03-18,0,7,downloaded,downloaded and parsed successfully,81.0,977.0,30.4,23637.0,True,81.0,81.0,81.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-18_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-18_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-18 06:00:00,2024-03-18 13:00:00,2024-03-18,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-18_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-18_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-18 12:00:00,2024-03-18 19:00:00,2024-03-18,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-18_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-18_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-19 00:00:00,2024-03-19 07:00:00,2024-03-19,0,7,downloaded,downloaded and parsed successfully,73.0,977.0,35.7,22644.0,True,73.0,73.0,72.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-19_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-19_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
